단지명,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,위도,경도
서울역한라비발디센트럴,84.9774,202202,4,"61,000",8,2,37.5545735828657,126.965847056196
서울역한라비발디센트럴,84.9774,202202,5,"68,600",35,3,37.5545735828657,126.965847056196
서울역한라비발디센트럴,71.9832,202202,7,"55,000",30,10,37.5545735828657,126.965847056196
서울역한라비발디센트럴,84.9774,202202,11,"60,000",65,11,37.5545735828657,126.965847056196
서울역한라비발디센트럴,71.9832,202202,11,"53,000",60,4,37.5545735828657,126.965847056196
서울역한라비발디센트럴,71.9832,202202,12,"40,000",76,5,37.5545735828657,126.965847056196
서울역한라비발디센트럴,84.9774,202202,12,"55,000",49,6,37.5545735828657,126.965847056196
서울역한라비발디센트럴,84.9774,202202,17,"30,000",130,8,37.5545735828657,126.965847056196
서울역한라비발디센트럴,84.9774,202202,22,"10,000",195,12,37.5545735828657,126.965847056196
서울역한라비발디센트럴,84.9774,202202,26,"45,000",100,4,37.5545735828657,126.965847056196
서울역한라비발디센트럴,71.9832,202203,5,"4,000",135,10,37.5545735828657,126.965847056196
서울역한라비발디센트럴,84.9774,202203,28,"72,000",9,5,37.5545735828657,126.965847056196
서울역한라비발디센트럴,84.9774,202204,22,"5,000",240,9,37.5545735828657,126.965847056196
서울역한라비발디센트럴,71.9832,202204,30,"15,000",180,11,37.5545735828657,126.965847056196
서울역한라비발디센트럴,71.9832,202205,1,"65,000",70,13,37.5545735828657,126.965847056196
서울역한라비발디센트럴,84.9774,202206,11,"5,000",240,8,37.5545735828657,126.965847056196
서울역한라비발디센트럴,71.9832,202208,26,"5,000",200,14,37.5545735828657,126.965847056196
묵정,52.46,202202,17,"5,000",80,7,37.5607074663453,127.000060665185
묵정,52.46,202202,19,"3,000",90,3,37.5607074663453,127.000060665185
묵정,52.46,202203,2,"2,000",80,1,37.5607074663453,127.000060665185
묵정,52.46,202204,2,"3,000",90,4,37.5607074663453,127.000060665185
묵정,52.46,202206,17,"1,000",110,9,37.5607074663453,127.000060665185
묵정,52.46,202206,17,"1,000",110,9,37.5607074663453,127.000060665185
묵정,52.46,202207,22,"2,000",80,3,37.5607074663453,127.000060665185
묵정,52.46,202208,16,"2,000",80,2,37.5607074663453,127.000060665185
묵정,52.46,202209,2,"10,000",40,6,37.5607074663453,127.000060665185
묵정,52.46,202209,3,"8,000",65,7,37.5607074663453,127.000060665185
묵정,52.46,202209,3,"8,000",65,7,37.5607074663453,127.000060665185
묵정,52.46,202210,8,"2,000",120,9,37.5607074663453,127.000060665185
충무,67.77,202201,27,"10,000",80,10,37.5607315198784,127.000855311471
충무,67.77,202210,8,"10,000",70,2,37.5607315198784,127.000855311471
덕수궁롯데캐슬,116.5445,202201,17,"100,000",120,17,37.5637084894676,126.970042986983
덕수궁롯데캐슬,31.7571,202201,29,"2,000",133,9,37.5637084894676,126.970042986983
덕수궁롯데캐슬,117.7748,202202,4,"10,000",500,22,37.5637084894676,126.970042986983
덕수궁롯데캐슬,117.7748,202202,11,"12,000",300,22,37.5637084894676,126.970042986983
덕수궁롯데캐슬,69.5135,202203,14,"2,000",330,6,37.5637084894676,126.970042986983
덕수궁롯데캐슬,56.2897,202204,1,"3,000",199,6,37.5637084894676,126.970042986983
덕수궁롯데캐슬,56.2897,202204,14,"5,000",250,6,37.5637084894676,126.970042986983
덕수궁롯데캐슬,56.2897,202204,14,"5,000",250,6,37.5637084894676,126.970042986983
덕수궁롯데캐슬,42.3686,202205,1,"2,000",150,6,37.5637084894676,126.970042986983
덕수궁롯데캐슬,42.3686,202205,21,"35,000",40,10,37.5637084894676,126.970042986983
덕수궁롯데캐슬,42.3686,202205,21,"35,000",40,10,37.5637084894676,126.970042986983
덕수궁롯데캐슬,56.2897,202205,27,"25,000",98,8,37.5637084894676,126.970042986983
덕수궁롯데캐슬,69.5135,202206,8,"5,000",280,6,37.5637084894676,126.970042986983
덕수궁롯데캐슬,56.2897,202207,6,"50,000",33,5,37.5637084894676,126.970042986983
덕수궁롯데캐슬,69.5135,202207,15,"45,000",105,9,37.5637084894676,126.970042986983
덕수궁롯데캐슬,31.7571,202207,27,"30,000",30,8,37.5637084894676,126.970042986983
덕수궁롯데캐슬,56.2897,202208,16,"2,000",240,7,37.5637084894676,126.970042986983
덕수궁롯데캐슬,56.2897,202208,17,"50,000",37,10,37.5637084894676,126.970042986983
덕수궁롯데캐슬,31.7571,202209,19,"2,000",133,9,37.5637084894676,126.970042986983
덕수궁롯데캐슬,42.3686,202209,24,"11,000",113,6,37.5637084894676,126.970042986983
덕수궁롯데캐슬,116.5445,202210,4,"30,000",370,19,37.5637084894676,126.970042986983
덕수궁롯데캐슬,56.2897,202210,15,"5,000",210,8,37.5637084894676,126.970042986983
덕수궁롯데캐슬,56.2897,202211,19,"25,000",94,8,37.5637084894676,126.970042986983
덕수궁롯데캐슬,31.7571,202211,24,"25,000",60,9,37.5637084894676,126.970042986983
바비엥3,70.81,202202,10,"2,000",170,14,37.5631059622005,126.969569549275
바비엥3,65.71,202202,19,"2,000",200,15,37.5631059622005,126.969569549275
바비엥3,65.71,202207,18,"2,000",180,18,37.5631059622005,126.969569549275
바비엥3,70.81,202207,19,"2,000",170,19,37.5631059622005,126.969569549275
바비엥3,65.71,202207,21,"2,000",158,13,37.5631059622005,126.969569549275
바비엥3,70.46,202208,12,"2,000",180,17,37.5631059622005,126.969569549275
바비엥3,60.16,202209,22,"20,000",80,19,37.5631059622005,126.969569549275
순화동더샵,84.9,202202,21,"5,000",350,19,37.5602669008102,126.972035325682
순화동더샵,84.99,202204,4,240,240,25,37.5602669008102,126.972035325682
순화동더샵,49.2,202208,1,"4,000",120,13,37.5602669008102,126.972035325682
순화동더샵,57.58,202209,2,"38,000",50,11,37.5602669008102,126.972035325682
순화동더샵,49.2,202209,26,"20,000",49,11,37.5602669008102,126.972035325682
순화동더샵,57.58,202211,2,"36,000",40,8,37.5602669008102,126.972035325682
(340-127),16.64,202201,13,"5,000",25,4,37.5559723399868,127.012449835838
(340-127),16.64,202203,4,"3,000",25,9,37.5559723399868,127.012449835838
(372-66),20.06,202206,6,"2,000",50,6,37.5522374841834,127.01196066611
그린빌,69.2,202204,27,"25,000",70,3,37.5644291001956,127.018012343981
남산리젠트힐,93.51,202206,21,300,300,4,37.5487459702542,127.005327951013
남산리젠트힐,137.51,202209,28,650,650,5,37.5487459702542,127.005327951013
남산리젠트힐,72.53,202210,14,150,180,4,37.5487459702542,127.005327951013
남산타운,84.88,202201,4,"5,000",220,15,37.5471667734011,127.005677166122
남산타운,59.94,202201,5,"5,000",116,16,37.5471667734011,127.005677166122
남산타운,114.88,202201,8,"50,000",59,6,37.5471667734011,127.005677166122
남산타운,84.88,202201,10,"50,000",5,14,37.5471667734011,127.005677166122
남산타운,84.88,202201,10,"50,000",5,14,37.5471667734011,127.005677166122
남산타운,59.94,202201,11,"42,000",5,7,37.5471667734011,127.005677166122
남산타운,84.88,202201,12,"10,000",143,11,37.5471667734011,127.005677166122
남산타운,84.88,202201,13,"20,000",180,1,37.5471667734011,127.005677166122
남산타운,84.88,202201,15,"10,000",195,2,37.5471667734011,127.005677166122
남산타운,84.88,202201,15,"3,000",195,17,37.5471667734011,127.005677166122
남산타운,84.88,202201,15,"20,000",170,11,37.5471667734011,127.005677166122
남산타운,84.88,202201,20,"20,000",140,10,37.5471667734011,127.005677166122
남산타운,59.94,202201,22,"30,000",80,2,37.5471667734011,127.005677166122
남산타운,84.88,202201,22,"50,000",100,10,37.5471667734011,127.005677166122
남산타운,84.88,202202,4,"30,000",66,9,37.5471667734011,127.005677166122
남산타운,84.88,202202,5,"52,000",5,7,37.5471667734011,127.005677166122
