상호,주소,위도,경도
나인트리프리미어호텔 명동Ⅱ,서울특별시 중구 마른내로 28,37.5643193,126.9973687
(주)사보이호텔,서울특별시 중구 명동8나길 10,37.5612835,126.9831326
지투관광 주식회사,서울특별시 중구 수표로 24,37.567547,126.9896042
주식회사 소테츠인터내셔널한국,서울특별시 중구 남대문로5길 15,37.5625071,126.9790776
케이티에스테이트,서울특별시 중구 을지로 238,37.565877,126.9802901
주식회사 소테츠인터내셔널한국 동대문2호점,서울특별시 중구 장충단로 226,37.5601768,127.005621
(주)조선호텔앤리조트 레스케이프,서울특별시 중구 퇴계로 67,37.5596957,126.9809292
호텔 그레이스리 서울,서울특별시 중구 세종대로12길 12,37.56165405,126.97693299870735
파인트리호텔유한회사,서울특별시 중구 수표로 61,37.5666306,126.9895287
아시아매니징주식회사호텔미드시티명동,서울특별시 중구 다동길 30,37.5676971,126.9806489
주식회사메타월드,서울특별시 중구 동호로 346,37.5525369,127.0124355
그랜드코리아레저(주),서울특별시 중구 소월로 50,37.5553929,126.97560748795905
대박나라넷,서울특별시 중구 명동9길 10,37.5643318,126.98503655635406
(주)대한디씨몰,서울특별시 중구 소공로 112,37.5597632,126.982249
명동제일환전센터,서울특별시 중구 남대문로 68-1,37.5604945,126.9751716
GS25 청계천 패션점,서울특별시 중구 청계천로 318,37.5686536,126.9822422
유한회사 에스씨70,서울특별시 중구 소공로 102,37.5597632,126.982249
미우환전,서울특별시 중구 퇴계로 37,37.5596957,126.9809292
트로이아르케 명동점,서울특별시 중구 퇴계로 139,37.561261,126.98726337664638
에스이에프무역주식회사,서울특별시 중구 퇴계로73길 35,37.5665388,127.0139754
스마트 상품권,서울특별시 중구 소공로 58,37.5597632,126.982249
아시아,서울특별시 중구 남대문로 52-1,37.5604407,126.9759197
소홍우 환전소,서울특별시 중구 퇴계로63길 22,37.56507,127.0085831
미커피,서울특별시 중구 퇴계로24길 2-1,37.5603255,126.9877709
매드스토어,서울특별시 중구 퇴계로 165,37.5596957,126.9809292
글로벌텍스프리 현대시티아울렛,서울특별시 중구 장충단로13길 20,37.5676735,127.0084005
글로벌텍스프리 올리브영 본점,서울특별시 중구 명동길 53,37.5641193,126.98516614720481
글로벌텍스프리 신세계백화점본점 1F,서울특별시 중구 소공로 63,37.5602936,126.9805031
글로벌텍스프리 신세계백화점본점 4F,서울특별시 중구 퇴계로 77,37.5596957,126.9809292
주식회사 월드국제여행사,서울특별시 중구 퇴계로 213,37.5596957,126.9809292
글로벌텍스프리 롯데본점,서울특별시 중구 남대문로 81,37.56485565,126.98170653290309
광희상사,서울특별시 중구 마른내로 155-1,37.5644364,127.0048558
플러스알파 환전센터,서울특별시 중구 명동길 36-1,37.5638495,126.9851142
화샤환전소,서울특별시 중구 남대문로 7-13,37.5604407,126.9759197
(주)조선호텔앤리조트 포포인츠 조선 명동,서울특별시 중구 삼일대로 10-36,37.5589046,126.9918561
아톰,서울특별시 중구 명동 7-8,37.5634029,126.9857375299406
한미환전,서울특별시 중구 명동 7길 23,37.5613134,126.98508610022687
