시군구,번지,본번,부번,단지명,전월세구분,전용면적(㎡),계약년월,계약일,보증금(만원),월세(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금 (만원),종전계약 월세 (만원)
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,84.972,202202,12,"90,000",0,21,2017,만리재로 175,202203~202403,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,72.8899,202202,12,"78,000",0,19,2017,만리재로 175,202202~202402,갱신,-,"63,000",0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,72.9733,202202,12,"70,350",0,23,2017,만리재로 175,202202~202402,갱신,사용,"67,000",0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,59.9707,202202,12,"63,000",0,6,2017,만리재로 175,202202~202402,갱신,사용,"60,000",0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,59.943,202202,14,"58,800",0,4,2017,만리재로 175,202202~202302,갱신,사용,"56,000",0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,84.972,202202,15,"75,000",0,20,2017,만리재로 175,202202~202402,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,84.972,202202,16,"92,000",0,5,2017,만리재로 175,202204~202404,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,84.972,202202,18,"70,000",30,12,2017,만리재로 175,202204~202404,-,-,,
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,84.972,202202,18,"10,000",232,12,2017,만리재로 175,202202~202402,갱신,사용,"10,000",220
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,월세,84.9918,202202,19,"10,000",340,24,2017,만리재로 175,202203~202403,신규,-,0,0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,72.8899,202202,19,"61,900",0,20,2017,만리재로 175,202203~202403,갱신,사용,"59,000",0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,59.9707,202202,19,"64,050",0,25,2017,만리재로 175,202203~202403,갱신,사용,"61,000",0
서울특별시 중구 만리동2가,176-1,176,1,서울역센트럴자이,전세,59.943,202202,20,"61,950",0,11,2017,만리재로 175,202203~202403,갱신,사용,"59,000",0
