단지명,전용면적,계약년도,계약일,위도,경도,지하철거리,계약날짜,환율,500m맛집,500m문화공간,500m문화재,500m쇼핑,1000m맛집,1000m문화공간,1000m문화재,1000m쇼핑,가장 가까운 버스정류장까지 거리(m),가장 가까운 버스정류장,일일가격,층_-1,층_1,층_2,층_3,층_4,층_5,층_6,층_7,층_8,층_9,층_10,층_11,층_12,층_13,층_14,층_15,층_16,층_17,층_18,층_19,층_20,층_21,층_22,층_23,층_24,층_25,층_26,층_27,층_28,층_29,층_30,층_31,층_32,층_33,층_34,지하철역_동대입구역,지하철역_동묘앞역,지하철역_명동역,지하철역_버티고개역,지하철역_상왕십리역,지하철역_서대문역,지하철역_서울역,지하철역_시청역,지하철역_신금호역,지하철역_신당역,지하철역_신설동역,지하철역_약수역,지하철역_을지로4가역,지하철역_청구역,지하철역_충무로역,지하철역_충정로(경기대입구)역,지하철역_회현(남대문시장)역
파크원빌,13.51,2022-02-01,10,37.560367072421,127.004543530031,173.3487208435671,2022/02/10,1196.0,16,6,13,5,87,29,50,29,101.49308138878293,장충동.동국대입구,10.173611111111109,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
신당파인힐하나유보라,59.0613,2022-11-01,25,37.5647799977176,127.024709957671,413.01287042336577,2022/11/25,1333.2,6,0,0,0,18,7,4,22,17.8702147977542,신당파인힐하나유보라,18.347222222222218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
약수하이츠,84.87999999999998,2022-03-01,12,37.5551915990934,127.016359379417,358.1312622656157,2022/03/12,1228.7,7,3,9,0,47,17,24,13,392.9343565790587,신당동대우푸르지오.금호여중,27.20138888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
롯데캐슬,84.97,2022-06-01,27,37.57081054646992,127.021463886656,533.615752338311,2022/06/27,1299.4,3,1,1,3,21,7,4,23,99.42774589932525,황학동롯데캐슬,24.694444444444443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
남산타운,114.88,2022-08-01,25,37.5471667734011,127.005677166122,153.7732236879109,2022/08/25,1341.4,10,1,0,1,30,13,28,6,38.78579684636771,버티고개,42.15625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
남산타운,84.87999999999998,2022-01-01,15,37.5471667734011,127.005677166122,153.7732236879109,2022/01/15,1188.2,10,1,0,1,30,13,28,6,38.78579684636771,버티고개,34.23611111111111,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
남산타운,114.88,2022-03-01,19,37.5471667734011,127.005677166122,153.7732236879109,2022/03/19,1220.6,10,1,0,1,30,13,28,6,38.78579684636771,버티고개,36.90972222222222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
청구e편한세상,84.95999999999998,2022-02-01,19,37.5599601596254,127.015451019186,148.0705761514984,2022/02/19,1197.1,4,1,1,0,63,20,29,31,70.23484133934264,청구역,45.86805555555555,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
LIG서울역리가,84.98659999999998,2022-11-01,19,37.5562729792512,126.966882959987,421.6932281404668,2022/11/19,1338.4,7,3,15,0,74,30,74,4,168.61624434442572,서울의료보건고등학교.서울역서부,32.67361111111111,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
삼성사이버빌리지,84.95,2022-06-01,28,37.5589266608979,126.964320892997,86.42285253868776,2022/06/28,1285.6,10,4,13,0,73,29,74,4,66.59799483216813,종근당.충정로역,31.048611111111104,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
