단지명,전용면적,보증금,월세,층,지하철역,지하철거리,500m음식점수,환율,1000m맛집,1000m문화공간,1000m문화재,1000m쇼핑,가장 가까운 버스정류장까지 거리(m),금리,보증금고려월세
약수(372-2796),65.02,4000.0,85,3,약수역,67.60227851209639,77,1432.1,54,20,30,10,75.75270809457467,3.0,95.0
약수(372-2796),65.02,10000.0,56,6,약수역,67.60227851209639,77,1432.1,54,20,30,10,75.75270809457467,3.0,81.0
현대,79.11,24000.0,80,5,신당역,642.5304144954268,81,1432.1,27,9,13,16,145.0156737035655,3.0,140.0
남산타운,84.87999999999998,56700.0,42,14,버티고개역,153.7732236879109,27,1432.1,30,13,28,6,38.78579684636771,3.0,183.75
남산타운,59.94,10000.0,160,12,버티고개역,153.7732236879109,27,1431.2,30,13,28,6,38.78579684636771,3.0,185.0
약수(372-2796),65.02,5000.0,80,6,약수역,67.60227851209639,77,1419.1,54,20,30,10,75.75270809457467,3.0,92.5
약수(372-2796),52.93,5000.0,60,5,약수역,67.60227851209639,77,1419.1,54,20,30,10,75.75270809457467,3.0,72.5
약수(372-2796),52.93,5000.0,60,6,약수역,67.60227851209639,77,1419.1,54,20,30,10,75.75270809457467,3.0,72.5
약수하이츠,84.87999999999998,5000.0,190,15,신금호역,358.1312622656157,4,1419.1,47,17,24,13,392.9343565790587,3.0,202.5
서울역센트럴자이(임대),39.9541,50000.0,100,5,충정로(경기대입구)역,570.352209953056,100,1419.1,39,20,55,4,201.7103826031684,3.0,225.0
약수(372-2796),52.93,5000.0,60,7,약수역,67.60227851209639,77,1419.1,54,20,30,10,75.75270809457467,3.0,72.5
약수하이츠,57.63,10000.0,91,6,신금호역,358.1312622656157,4,1404.2,47,17,24,13,392.9343565790587,3.0,116.0
서울역센트럴자이,84.97199999999998,10000.0,320,18,충정로(경기대입구)역,546.5467807347819,101,1404.2,47,20,55,4,161.22384425777142,3.0,345.0
남산타운,84.87999999999998,5000.0,210,18,버티고개역,153.7732236879109,27,1404.2,30,13,28,6,38.78579684636771,3.0,222.5
롯데캐슬,84.92,20000.0,150,14,신설동역,533.615752338311,40,1404.2,21,7,4,23,99.42774589932525,3.0,200.0
롯데캐슬,84.92,20000.0,150,14,신설동역,533.615752338311,40,1404.2,21,7,4,23,99.42774589932525,3.0,200.0
오렌지카운티을지로,12.26,500.0,58,8,을지로4가역,351.93310458901897,273,1404.2,90,33,49,30,111.17973797505265,3.0,59.25
신당KCC스위첸,72.9906,30000.0,140,15,상왕십리역,442.77682315529216,7,1404.2,18,7,4,16,120.54082585276144,3.0,215.0
묵정,52.46,2000.0,120,9,동대입구역,522.9444304920572,186,1404.2,115,37,59,31,185.86417386132544,3.0,125.0
남산타운,59.94,15000.0,90,11,버티고개역,153.7732236879109,27,1404.2,30,13,28,6,38.78579684636771,3.0,127.5
충무,67.77,10000.0,70,2,동대입구역,458.9527599183493,174,1404.2,107,37,58,32,159.18949873299243,3.0,95.0
청구e편한세상,84.95,53800.0,100,15,청구역,148.0705761514984,96,1404.2,63,20,29,31,70.23484133934264,3.0,234.5
롯데캐슬,33.62,2184.0,24,13,신설동역,533.615752338311,40,1404.2,21,7,4,23,99.42774589932525,3.0,29.46
진양상가,71.93,3000.0,120,11,충무로역,197.7903468724876,213,1404.2,129,37,71,25,65.48284525938637,3.0,127.5
남산타운,59.94,25000.0,92,3,버티고개역,153.7732236879109,27,1404.2,30,13,28,6,38.78579684636771,3.0,154.5
삼정아트테라스정동,24.2849,10000.0,110,8,시청역,300.9137610337463,514,1404.2,143,42,101,11,230.68420809566103,3.0,135.0
현대,79.11,25000.0,50,15,신당역,642.5304144954268,81,1404.2,27,9,13,16,145.0156737035655,3.0,112.5
삼정아트테라스정동,14.2664,18000.0,25,9,시청역,300.9137610337463,514,1404.2,143,42,101,11,230.68420809566103,3.0,70.0
남산센트럴자이,82.41299999999998,30000.0,200,7,충무로역,352.7013286255665,229,1410.3,104,36,55,33,129.0802746938073,3.0,275.0
래미안하이베르,84.84999999999998,40000.0,100,5,신당역,524.9534945478343,88,1433.5,44,15,23,27,264.0077328980435,3.0,200.0
약수하이츠,32.67,2519.0,5,14,신금호역,358.1312622656157,4,1433.5,47,17,24,13,392.9343565790587,3.0,11.2975
약수하이츠,32.67,2519.0,5,2,신금호역,358.1312622656157,4,1433.5,47,17,24,13,392.9343565790587,3.0,11.2975
롯데캐슬,33.62,2184.0,24,29,신설동역,533.615752338311,40,1433.5,21,7,4,23,99.42774589932525,3.0,29.46
남산타운,59.94,3000.0,170,4,버티고개역,153.7732236879109,27,1430.4,30,13,28,6,38.78579684636771,3.0,177.5
약수하이츠,84.87999999999998,30000.0,150,13,신금호역,358.1312622656157,4,1430.4,47,17,24,13,392.9343565790587,3.0,225.0
리하우스(LEEHAUS),40.236,10000.0,67,9,충정로(경기대입구)역,200.555682270846,159,1430.4,102,32,89,7,114.02735679071988,3.0,92.0
삼성사이버빌리지,114.77,52000.0,70,9,충정로(경기대입구)역,86.42285253868776,90,1430.4,73,29,74,4,66.59799483216813,3.0,200.0
삼성사이버빌리지,84.93,6000.0,158,5,충정로(경기대입구)역,86.42285253868776,90,1430.4,73,29,74,4,66.59799483216813,3.0,173.0
롯데캐슬,114.9,68000.0,50,26,신설동역,533.615752338311,40,1427.0,21,7,4,23,99.42774589932525,3.0,220.0
청계리버팰리스A,27.84,40.0,130,11,신당역,466.3286252766708,105,1427.0,23,7,4,23,195.84421612288423,3.0,130.1
동대문와이즈캐슬,15.55,1000.0,65,8,신당역,76.31378679879745,159,1427.0,52,17,26,31,102.6009616168716,3.0,67.5
리하우스(LEEHAUS),43.056,10000.0,67,1,충정로(경기대입구)역,200.555682270846,159,1427.0,102,32,89,7,114.02735679071988,3.0,92.0
청계천두산위브더제니스,46.735,5000.0,260,11,신당역,117.13990056099556,159,1427.0,42,14,17,30,190.9665407319669,3.0,272.5
롯데캐슬,33.62,4800.0,10,31,신설동역,533.615752338311,40,1427.0,21,7,4,23,99.42774589932525,3.0,22.0
남산리젠트힐,72.53,150.0,180,4,버티고개역,172.94437351095854,32,1427.0,33,13,30,6,121.2985282990008,3.0,180.375
남산타운,59.94,3000.0,135,3,버티고개역,153.7732236879109,27,1427.0,30,13,28,6,38.78579684636771,3.0,142.5
