단지명,전용면적,계약년도,계약일,보증금,월세,층,위도,경도,지하철역,지하철거리,500m음식점수,계약날짜,환율,500m맛집,500m문화공간,500m문화재,500m쇼핑,1000m맛집,1000m문화공간,1000m문화재,1000m쇼핑,가장 가까운 버스정류장까지 거리(m),가장 가까운 버스정류장
청구e편한세상,84.95999999999998,202201,12,10000.0,250,6,37.5599601596254,127.015451019186,청구역,148.0705761514984,96,2022/01/12,1195.2,4,1,1,0,63,20,29,31,70.23484133934264,청구역
충무로헤센스마트,21.04,202201,12,1000.0,80,3,37.5613425706769,126.998598124335,충무로역,399.4739356787322,226,2022/01/12,1195.2,17,7,15,1,117,36,52,32,166.95499565803877,퇴계로5가
충무로헤센스마트,21.04,202201,12,1000.0,80,3,37.5613425706769,126.998598124335,충무로역,399.4739356787322,226,2022/01/12,1195.2,17,7,15,1,117,36,52,32,166.95499565803877,퇴계로5가
노블레스2,122.31,202201,13,15000.0,400,5,37.549630663217,127.005273694994,버티고개역,238.7738491675192,40,2022/01/13,1189.9,10,2,0,1,35,14,37,6,199.08089827563205,송도병원앞
남산타운,84.87999999999998,202201,13,20000.0,180,1,37.5471667734011,127.005677166122,버티고개역,153.7732236879109,27,2022/01/13,1189.9,10,1,0,1,30,13,28,6,38.78579684636771,버티고개
(340-127),16.64,202201,13,5000.0,25,4,37.5559723399868,127.012449835838,약수역,208.5619824879092,95,2022/01/13,1189.9,10,3,9,0,62,20,30,29,97.74350362675004,약수역3번출구.약수하이츠
리하우스(LEEHAUS),43.056,202201,13,10000.0,67,3,37.5599142889134,126.966632465339,충정로(경기대입구)역,200.555682270846,159,2022/01/13,1189.9,10,3,15,0,102,32,89,7,114.02735679071988,한국경제신문사.서소문역사공원
서울역센트럴자이,59.9707,202201,13,20000.0,240,10,37.5547800420518,126.964458224138,충정로(경기대입구)역,546.5467807347819,101,2022/01/13,1189.9,1,2,4,0,47,20,55,4,161.22384425777142,손기정체육공원입구
롯데캐슬,84.9,202201,14,5000.0,178,10,37.57081054646992,127.021463886656,신설동역,533.615752338311,40,2022/01/14,1188.2,3,1,1,3,21,7,4,23,99.42774589932525,황학동롯데캐슬
신당파인힐하나유보라,24.3931,202201,14,1000.0,71,11,37.5647799977176,127.024709957671,상왕십리역,413.01287042336577,8,2022/01/14,1188.2,6,0,0,0,18,7,4,22,17.8702147977542,신당파인힐하나유보라
쌍용남산플래티넘,139.8,202201,14,50000.0,230,21,37.5594119017486,126.983219915695,명동역,325.43124752086374,395,2022/01/14,1188.2,43,5,10,3,175,51,123,11,53.1320517975455,남산3호터널.서울애니메이션센터
진양상가,71.93,202201,15,3000.0,93,10,37.5624227137843,126.995931151636,충무로역,197.7903468724876,213,2022/01/15,1188.2,22,6,12,1,129,37,71,25,65.48284525938637,충무로역8번출구.대한극장앞
남산롯데캐슬아이리스,113.46,202201,15,20000.0,330,12,37.5582247092319,126.981744459746,회현(남대문시장)역,310.7749620679906,333,2022/01/15,1188.2,27,7,12,5,163,48,118,11,85.65990388873333,남산3호터널
남산타운,84.87999999999998,202201,15,10000.0,195,2,37.5471667734011,127.005677166122,버티고개역,153.7732236879109,27,2022/01/15,1188.2,10,1,0,1,30,13,28,6,38.78579684636771,버티고개
더플레이스충정로,17.68,202201,15,1000.0,68,5,37.558980785321,126.966068233101,충정로(경기대입구)역,169.5458754048524,129,2022/01/15,1188.2,10,4,16,0,90,31,86,5,152.21828755716365,종근당.충정로역
LIG서울역리가,84.9846,202201,15,50000.0,75,7,37.5562729792512,126.966882959987,서울역,421.6932281404668,121,2022/01/15,1188.2,7,3,15,0,74,30,74,4,168.61624434442572,서울의료보건고등학교.서울역서부
약수하이츠,84.87999999999998,202201,15,50000.0,70,5,37.5551915990934,127.016359379417,신금호역,358.1312622656157,4,2022/01/15,1188.2,7,3,9,0,47,17,24,13,392.9343565790587,신당동대우푸르지오.금호여중
