정류장번호,정류장명,정류장_위도,정류장_경도
SEB101000085,신당동떡볶이타운.중구여성플라자,37.5626278,127.0150019
SEB101000086,신당동떡볶이타운.중구여성플라자,37.56231,127.0151908
SEB101000087,신당동.청구역,37.5589483,127.0132161
SEB101000088,신당동.청구역,37.5592573,127.0130316
SEB101000089,약수역2번출구.가온도서관,37.5559812,127.0111465
SEB101000090,약수역3번출구.약수하이츠,37.5557496,127.0113796
SEB101000091,약수역4번출구.금호터널입구,37.553399,127.012012
SEB101000092,약수역5번출구.금호터널입구,37.5529237,127.0118693
SEB101000093,약수역8번출구.신당사회복지관,37.5538646,127.0099566
SEB101000094,약수역7번출구.약수동주민센터,37.5528509,127.0092978
SEB101000095,송도병원앞,37.5502676,127.0077186
SEB101000096,송도병원앞,37.5502271,127.0073984
SEB101000097,장충체육관앞,37.5584811,127.007784
SEB101000098,장충체육관앞,37.5580017,127.0078281
SEB101000099,장충동.동국대입구,37.5605043,127.0057569
SEB101000100,장충동.동국대입구,37.5606663,127.005629
SEB101000101,퇴계로6가,37.5634011,127.0039011
SEB101000102,퇴계로6가,37.5635738,127.0033399
SEB101000103,퇴계로5가,37.5623804,126.999966
SEB101000104,퇴계로5가,37.5627804,126.9997252
SEB101000105,국립극장.반얀트리호텔,37.5514818,127.0010947
SEB101000106,국립극장.반얀트리호텔,37.5516853,127.0009473
SEB101000107,청구역,37.55996,127.0146561
SEB101000108,청구역,37.5599303,127.0142191
SEB101000109,동화동,37.559937,127.0183371
SEB101000110,동화동,37.5598126,127.0182736
SEB101000111,백범광장,37.555737,126.980093
SEB101000113,남대문경찰서,37.5540144,126.9737449
SEB101000114,남대문시장앞.이회영활동터,37.5609394,126.9785803
SEB101000117,동대입구역.장충동,37.5581343,127.0053855
SEB101000119,청계1가.광교,37.5684616,126.9836249
SEB101000120,청계2가.삼일교,37.5678404,126.9885301
SEB101000121,청계4가.배오개다리,37.5684843,126.9971755
SEB101000122,청계5가.방산시장,37.5691385,127.0006713
SEB101000123,청계6가.평화시장,37.5693746,127.0044818
SEB101000124,청계7가.동평화.청평화시장,37.5695135,127.0138508
SEB101000125,청계8가.영도교,37.5706509,127.0188253
SEB101000128,신한은행본점,37.5611965,126.9755852
SEB101000130,동대문역사문화공원,37.5654113,127.0091092
