전용면적,보증금,월세,층,지하철역,지하철거리,500m음식점수,환율,500m맛집,500m문화공간,500m문화재,500m쇼핑,1000m맛집,1000m문화공간,1000m문화재,1000m쇼핑,가장 가까운 버스정류장까지 거리(m),보증금고려월세
59.9707,20000.0,240,10,충정로(경기대입구)역,546.5467807347819,101,1189.9,1,2,4,0,47,20,55,4,161.22384425777142,260.8333333333333
84.9,5000.0,178,10,신설동역,533.615752338311,40,1188.2,3,1,1,3,21,7,4,23,99.42774589932525,183.20833333333334
24.3931,1000.0,71,11,상왕십리역,413.01287042336577,8,1188.2,6,0,0,0,18,7,4,22,17.8702147977542,72.04166666666667
139.8,50000.0,230,21,명동역,325.43124752086374,395,1188.2,43,5,10,3,175,51,123,11,53.1320517975455,282.0833333333333
71.93,3000.0,93,10,충무로역,197.7903468724876,213,1188.2,22,6,12,1,129,37,71,25,65.48284525938637,96.125
113.46,20000.0,330,12,회현(남대문시장)역,310.7749620679906,333,1188.2,27,7,12,5,163,48,118,11,85.65990388873333,350.8333333333333
84.87999999999998,10000.0,195,2,버티고개역,153.7732236879109,27,1188.2,10,1,0,1,30,13,28,6,38.78579684636771,205.41666666666666
17.68,1000.0,68,5,충정로(경기대입구)역,169.5458754048524,129,1188.2,10,4,16,0,90,31,86,5,152.21828755716365,69.04166666666667
84.9846,50000.0,75,7,서울역,421.6932281404668,121,1188.2,7,3,15,0,74,30,74,4,168.61624434442572,127.08333333333334
84.87999999999998,50000.0,70,5,신금호역,358.1312622656157,4,1188.2,7,3,9,0,47,17,24,13,392.9343565790587,122.08333333333334
84.87999999999998,3000.0,195,17,버티고개역,153.7732236879109,27,1188.2,10,1,0,1,30,13,28,6,38.78579684636771,198.125
84.95999999999998,70000.0,75,3,청구역,148.0705761514984,96,1188.2,4,1,1,0,63,20,29,31,70.23484133934264,147.91666666666669
84.87999999999998,20000.0,170,11,버티고개역,153.7732236879109,27,1188.2,10,1,0,1,30,13,28,6,38.78579684636771,190.83333333333334
59.04,7000.0,50,-1,버티고개역,369.6220653838971,67,1188.2,10,2,0,1,44,20,39,6,211.0081330867734,57.291666666666664
84.98,40000.0,68,5,신당역,524.9534945478343,88,1188.2,7,0,1,0,44,15,23,27,264.0077328980435,109.66666666666666
44.99,35000.0,100,23,회현(남대문시장)역,310.7749620679906,333,1188.2,27,7,12,5,163,48,118,11,85.65990388873333,136.45833333333334
32.67,2519.0,5,12,신금호역,358.1312622656157,4,1187.6,7,3,9,0,47,17,24,13,392.9343565790587,7.623958333333333
32.0134,30000.0,45,2,시청역,388.9620632501068,496,1187.6,25,15,30,0,145,42,99,11,329.724688403661,76.25
18.35,1000.0,50,9,신당역,462.5655163555446,106,1187.6,4,1,1,4,27,7,5,23,104.2561319628623,51.041666666666664
71.93,500.0,45,9,충무로역,197.7903468724876,213,1187.6,22,6,12,1,129,37,71,25,65.48284525938637,45.520833333333336
84.84999999999998,7000.0,160,14,신당역,524.9534945478343,88,1187.6,7,0,1,0,44,15,23,27,264.0077328980435,167.29166666666666
84.9918,1000.0,60,12,충정로(경기대입구)역,546.5467807347819,101,1187.6,1,2,4,0,47,20,55,4,161.22384425777142,61.041666666666664
19.76,1000.0,79,4,충무로역,399.4739356787322,226,1187.6,17,7,15,1,117,36,52,32,166.95499565803877,80.04166666666667
19.76,1000.0,80,4,충무로역,399.4739356787322,226,1187.6,17,7,15,1,117,36,52,32,166.95499565803877,81.04166666666667
32.76,2955.0,6,18,버티고개역,153.7732236879109,27,1187.6,10,1,0,1,30,13,28,6,38.78579684636771,9.078125
116.5445,100000.0,120,17,서대문역,377.9433754112008,173,1187.6,16,14,29,0,140,40,99,9,109.10882594405582,224.16666666666669
17.67,1000.0,85,20,신당역,174.3397765958725,165,1192.3,8,4,1,11,42,14,17,30,87.4723582497348,86.04166666666667
29.63,1500.0,95,12,신당역,58.061356897640906,140,1192.3,10,5,0,10,43,14,17,31,187.3336720760136,96.5625
