상세영업상태명	도로명주소	사업장명	업태구분명	좌표정보(X)	좌표정보(Y)	위도	경도
영업	서울특별시 중구 난계로15길 63 1층 106호 (황학동)	이마트24 황학이노점	백화점	201671.9404	451871.8563	37.56913181	127.0168231
영업	서울특별시 중구 소공로 48 2층 (회현동2가)	푸드네트워크(주) 네스트키즈	커피숍	198430.6837	450837.9311	37.55981622	126.9801366
영업	서울특별시 중구 퇴계로 407 (흥인동)	오슬랑커피(신당점)	커피숍	201429.7532	451480.2409	37.5656038	127.0140809
영업	서울특별시 중구 청계천로 400 지하2층 (황학동 롯데캐슬베네치아)	송사부수제쌀고로케 이마트청계천점	일반조리판매	201823.909	452076.8187	37.57097822	127.0185437
영업	서울특별시 중구 명동4길 28 2층 (명동2가)	크레페S	아이스크림	198497.411	451131.4952	37.56246131	126.9808912
영업	서울특별시 중구 명동8나길 38 지하1층 (충무로1가)	(주)비지에프리테일 명동점	편의점	198403.0832	451049.0124	37.56171799	126.9798237
영업	서울특별시 중구 퇴계로42길 7 1층 (필동2가)	로즈베리모어	커피숍	199650.8189	451009.5852	37.56136416	126.9939458
영업	서울특별시 중구 남대문로9길 51 (을지로1가지상12층)	한국맥도날드서울시청점	패스트푸드	198118.8801	451614.3629	37.56681118	126.9766055
영업	서울특별시 중구 명동7길 8 (명동1가외8필지 53-10외 6필지 1층)	맥도날드(Mcdonald)	패스트푸드	198562.7545	451322.8305	37.56418533	126.9816303
영업	서울특별시 중구 남대문로 81 지하1층 (소공동)	플디	백화점	198259.6536	451392.1982	37.56480978	126.9781995
영업	서울특별시 중구 소공로6길 13-7 2층 (회현동2가)	하우스젠니	커피숍	198495.8725	450739.0061	37.55892503	126.9808746
영업	서울특별시 중구 을지로12길 28 1층 105106호 (저동2가)	7-ELEVEN 중구매크로점	편의점	199097.2021	451430.8783	37.56515955	126.9876794
영업	서울특별시 중구 서소문로 116 유원빌딩 지하1층 비101호 (서소문동)	시청역 9번출구 계단아래	커피숍	197638.4036	451154.2324	37.56266431	126.9711686
영업	서울특별시 중구 을지로 164 호텔국도 1층 (을지로4가)	카페 가든(Cafe Garden)	커피숍	199603.0407	451543.6434	37.56617594	126.9934047
영업	서울특별시 중구 청파로 453 1층 (중림동)	피프틴 스위티(15 sweety)	기타 휴게음식점	197095.7894	450839.6722	37.55982857	126.9650284
영업	서울특별시 중구 명동4길 25 포라리스 1층 (명동2가)	고르드 명동점	기타 휴게음식점	198525.8483	451141.2264	37.56254904	126.981213
영업	서울특별시 중구 서소문로9길 28 지1층 B107호 (순화동 덕수궁롯데캐슬)	몬떼비서울(서소문)	커피숍	197312.6552	451257.2232	37.56359133	126.9674813
영업	서울특별시 중구 명동7길 21 명동아르누보센텀 1층 121호 (을지로2가)	이디야커피 명동중앙점	커피숍	198505.1408	451381.1131	37.56471036	126.9809781
영업	서울특별시 중구 소월로 37-1 1층 (남창동)	헤이소월	커피숍	197890.3239	450455.9465	37.55637346	126.974022
영업	서울특별시 중구 새문안로 16 b2층 (충정로1가)	주식회사 액츠컴퍼니	기타 휴게음식점	197143.1041	451569.7614	37.56640675	126.965561
영업	서울특별시 중구 수표로 30-2 2층 (저동2가)	압구정샌드위치 을지로점	커피숍	199075.9142	451289.2852	37.56388379	126.9874386
영업	서울특별시 중구 마른내로 8 1층 (저동2가)	씨유 명동백병원점	편의점	198935.9578	451359.2277	37.5645138	126.9858544
영업	서울특별시 중구 삼일대로9길 6 1층 (저동1가)	로투스(LOTUS)	커피숍	198852.9181	451263.8147	37.56365403	126.9849147
영업	서울특별시 중구 남대문로1길 22 (북창동(1층))	카페뚜띠	커피숍	197947.6512	451086.9598	37.56205896	126.9746689
영업	서울특별시 중구 통일로 92 지하1층 (순화동)	지에스25(GS25) 케이지타워점	편의점	197214.2058	451259.6719	37.5636131	126.9663669
영업	서울특별시 중구 세종대로11길 26 1층 (서소문동)	(주)엘리스파이 시청역점	기타 휴게음식점	197676.3161	451123.0764	37.5623837	126.9715978
영업	서울특별시 중구 을지로 35 (주)KEB하나은행 본점 직원식당 지하2층2층 (을지로1가)	하나은행본점	커피숍	198338.0956	451573.1295	37.56644011	126.9790869
영업	서울특별시 중구 을지로 66 KEB하나은행 별관 2층 (을지로2가)	하나은행명동점 카페	커피숍	198611.2399	451473.2483	37.56554066	126.9821788
영업	서울특별시 중구 남대문로 81 지하1층 (소공동)	롯데쇼핑(주)	백화점	198259.6536	451392.1982	37.56480978	126.9781995
영업	서울특별시 중구 명동길 7 12층 (명동1가)	리앤커피(LIAN Coffee)	커피숍	198399.3009	451276.3207	37.563766	126.9797804
영업	서울특별시 중구 동호로 193-12 1층 (신당동)	잇다(ITDAA)	커피숍	200771.7699	450294.6312	37.55492232	127.0066322
영업	서울특별시 중구 세종대로 91 (태평로2가)	매머드 익스프레스 시청점	커피숍	197859.8287	451364.299	37.56455755	126.9736741
영업	서울특별시 중구 을지로 281 지하2층 DDP마켓 C9호 (을지로7가)	고망고 DDP	커피숍	200806.1803	451624.0926	37.5669006	127.007023
영업	서울특별시 중구 세종대로 135-5 1층 (태평로1가)	스타벅스 세종대로점	커피숍	197847.6597	451811.6308	37.56858792	126.973535
영업	서울특별시 중구 을지로 281 지하2층 F1호 (을지로7가)	스타벅스 동대문디자인플라자점	커피숍	200806.1803	451624.0926	37.5669006	127.007023
영업	서울특별시 중구 퇴계로 195 1층 2호3호 (필동1가 하니빌딩)	메가엠지씨커피 충무로역점	커피숍	199363.1296	451008.4565	37.56135381	126.9906897
영업	서울특별시 중구 명동8나길 51 1 2 3 4층 (충무로1가)	메가엠지씨 커피 명동중앙우체국점	커피숍	198346.7983	450978.1549	37.56107947	126.9791868
영업	서울특별시 중구 청파로 426 2층 (봉래동2가)	롯데마트 서울역점 회코너	기타 휴게음식점	197243.2153	450655.1042	37.5581661	126.9666976
영업	서울특별시 중구 을지로 51 (을지로2가 교원내외빌딩 지하1층)	1%리버티커피	커피숍	198477.5172	451579.6342	37.56649896	126.980665
영업	서울특별시 중구 퇴계로 120 1층 (남산동1가)	쥬씨 명동역점	커피숍	198617.5628	450922.2626	37.56057635	126.9822515
영업	서울특별시 중구 한강대로 405 (봉래동2가롯데마트(지상2층))	조리 가코너	일반조리판매	197230.2061	450446.6844	37.55628822	126.9665512
영업	서울특별시 중구 한강대로 405 (봉래동2가롯데마트(지상2층))	조리 다코너	일반조리판매	197230.2061	450446.6844	37.55628822	126.9665512
